,Edge,U,pval,adj_pvals
0,DCN;TGFB1,122.5,0.7841774023302474,1.0
1,DCN;TGFB3,130.0,0.4892253282728585,1.0
2,TGFB1;TGFBR3,98.0,0.45895596735929944,1.0
3,TGFB1;FMOD,63.0,0.013263685594835319,0.37138319665538894
4,TGFB1;TGFB3,121.5,0.6968135030613116,1.0
5,TGFB1;ACVRL1,87.5,0.13068788630822836,0.7615971141793731
6,TGFB1;LTBP3,138.0,0.4351506759476398,1.0
7,TGFB1;TGFBR1,119.0,0.9257841816646044,1.0
8,TGFB1;LTBP1,146.5,0.26834439371029495,1.0
9,TGFB1;TGFBR2,89.0,0.17463182555607415,0.7615971141793731
10,TGFB1;ENG,81.0,0.10363383952256033,0.7615971141793731
11,TGFB3;TGFBR3,107.0,0.728702980544256,1.0
12,TGFB3;ENG,71.5,0.044595708158366505,0.4994719313737048
13,TGFB3;LTBP1,129.0,0.6445952886414493,1.0
14,TGFB3;TGFBR1,118.0,0.9555499384782247,1.0
15,TGFB3;TGFBR2,87.5,0.17004155453581216,0.7615971141793731
16,TGFB3;FMOD,73.5,0.0395800121462837,0.4994719313737048
17,TGFB3;ACVRL1,101.0,0.4046216197892797,1.0
18,TGFB3;LTBP3,120.0,0.8993001454102022,1.0
19,TGFBR3;TGFBR2,130.0,0.5752429876044478,1.0
20,TGFBR3;TGFBR1,109.0,0.8063341704284561,1.0
21,TGFBR2;ACVRL1,118.0,0.9312968228545213,1.0
22,TGFBR2;TGFBR1,108.0,0.7809414207104415,1.0
23,TGFBR2;ENG,106.0,0.6540460832078823,1.0
24,TGFBR1;ENG,88.0,0.307883961805708,1.0
25,ACVRL1;ENG,128.0,0.5347631734850806,1.0
26,IYD;DUOXA2,116.0,1.0,1.0
27,GNAI2;GNAI1,92.0,0.1767993300773545,0.7615971141793731
28,GNAI2;CNR1,92.0,0.1767993300773545,0.7615971141793731
29,GNAI2;DRD2,92.0,0.1767993300773545,0.7615971141793731
30,GNAI1;DRD2,104.0,0.37017873328529394,1.0
31,GNAI1;CNR1,116.0,1.0,1.0
32,FAAH;CNR1,84.0,0.13728816131213034,0.7615971141793731
33,CNR1;DRD2,124.0,0.4802112074856302,1.0
34,CNR1;GPR55,120.0,0.6458230910879958,1.0
35,CNR1;ADORA2A,120.0,0.7850547444047129,1.0
36,CNR1;CNR2,116.0,1.0,1.0
37,TPH1;TDO2,116.0,1.0,1.0
38,TPH1;IDO1,116.0,1.0,1.0
39,TPH1;IDO2,116.0,1.0,1.0
40,TDO2;KYNU,112.0,0.6458230910879958,1.0
41,TDO2;AFMID,112.0,0.6458230910879958,1.0
42,TDO2;IDO1,108.0,0.4802112074856302,1.0
43,TDO2;IDO2,112.0,0.6458230910879958,1.0
44,IDO1;KYNU,104.0,0.37017873328529394,1.0
45,IDO1;AFMID,120.0,0.8107070310145574,1.0
46,IDO2;KYNU,112.0,0.6458230910879958,1.0
47,IDO2;AFMID,112.0,0.6458230910879958,1.0
48,DRD2;ADORA2A,116.0,1.0,1.0
49,KYNU;AFMID,108.0,0.4802112074856302,1.0
50,SLC35A2;UGT3A2,44.0,0.002319059776271951,0.12986734747122924
51,AMBN;ENAM,116.0,1.0,1.0
52,AMBN;AMTN,116.0,1.0,1.0
53,ENAM;AMTN,116.0,1.0,1.0
54,AMTN;ODAM,104.0,0.3700521615699197,1.0
55,MAPK15;CLIC3,74.0,0.03182898673849561,0.4994719313737048
